AccountId,CustomerId,Accountname,Balance
86,86,Personal Loan Account,7786.75
87,87,Checking Account,8381.5
88,88,Auto Loan Account,6394.08
89,89,Personal Loan Account,7052.84
90,90,Savings Account,15039.48
91,91,Auto Loan Account,14003.69
92,92,Personal Loan Account,11340.71
93,93,Credit Card Account,13318.26
94,94,Home Loan Account,11271.18
95,95,Investment Account,12363.14
96,96,Money Market Account,4168.34
97,97,Auto Loan Account,8081.55
98,98,Auto Loan Account,3465.9
99,99,Auto Loan Account,13396.37
100,100,Credit Card Account,7790.52
101,101,Checking Account,10899.33
102,102,Money Market Account,5340.44
103,103,Investment Account,15156.67
104,104,Credit Card Account,11535.05
105,105,Money Market Account,13737.88
106,106,Personal Loan Account,3807.76
107,107,Savings Account,8946.95
108,108,Money Market Account,10810.24
109,109,Savings Account,8726.5
110,110,Investment Account,7301.39
111,111,Personal Loan Account,15017.63
112,112,Credit Card Account,13225.89
113,113,Auto Loan Account,13459.34
114,114,Investment Account,16687.96
115,115,Checking Account,18937.12
116,116,Investment Account,7414.03
117,117,Credit Card Account,12546.08
118,118,Auto Loan Account,8735.91
119,119,Personal Loan Account,4809.2
120,120,Savings Account,10174.42
121,121,Credit Card Account,12868.99
122,122,Auto Loan Account,12071.85
123,123,Savings Account,8974.31
124,124,Credit Card Account,13684.37
125,125,Personal Loan Account,3126.3
126,126,Auto Loan Account,15514.83
127,127,Personal Loan Account,11273.41
128,128,Personal Loan Account,7040.64
129,129,Savings Account,11615.39
130,130,Auto Loan Account,12262.11
131,131,Investment Account,12694.09
132,132,Investment Account,5305.03
133,133,Auto Loan Account,1245.4
134,134,Home Loan Account,13402.36
135,135,Credit Card Account,3725.77
136,136,Credit Card Account,5074.26
137,137,Checking Account,3944.69
138,138,Savings Account,1998.96
139,139,Investment Account,10755.59
140,140,Personal Loan Account,2269.3
141,141,Money Market Account,6618.82
142,142,Credit Card Account,15947.98
143,143,Investment Account,9210.26
144,144,Investment Account,6036.19
145,145,Credit Card Account,16204.66
146,146,Home Loan Account,6995.53
147,147,Money Market Account,16249.44
148,148,Money Market Account,10356.5
149,149,Investment Account,13155.78
150,150,Credit Card Account,5720.94
151,151,Credit Card Account,17478.04
152,152,Auto Loan Account,7796.27
153,153,Money Market Account,12852.99
154,154,Savings Account,16535.53
155,155,Savings Account,6700.21
156,156,Money Market Account,10537.5
157,157,Home Loan Account,9283.85
158,158,Home Loan Account,5181.37
159,159,Money Market Account,14581.35
160,160,Credit Card Account,14820.51
161,161,Auto Loan Account,7135.51
162,162,Savings Account,7762.53
163,163,Checking Account,12901.58
164,164,Personal Loan Account,10730.35
165,165,Money Market Account,16900.82
166,166,Personal Loan Account,4326.24
167,167,Checking Account,3289.06
168,168,Investment Account,11700.63
169,169,Checking Account,14030.15
170,170,Checking Account,3618.39
171,171,Savings Account,7791.96
172,172,Checking Account,3909.32
173,173,Investment Account,10282.28
174,174,Home Loan Account,3251.62
175,175,Home Loan Account,18121.64
176,176,Home Loan Account,1699.27
177,177,Home Loan Account,5972.05
178,178,Home Loan Account,13248.04
179,179,Investment Account,7358.48
180,180,Personal Loan Account,8924.82
181,181,Checking Account,14032.71
182,182,Checking Account,16220.82
183,183,Money Market Account,14130.2
184,184,Home Loan Account,14830.43
185,185,Personal Loan Account,6195.56
186,186,Investment Account,8935
187,187,Savings Account,14668.08
188,188,Auto Loan Account,12420.56
189,189,Checking Account,7596.94
190,190,Checking Account,16138.62
191,191,Home Loan Account,9060.91
192,192,Savings Account,6619.47
193,193,Home Loan Account,10332.24
194,194,Money Market Account,13935.22
195,195,Auto Loan Account,12102.24
196,196,Checking Account,7591.75
197,197,Savings Account,4133.18
198,198,Investment Account,3483.64
199,199,Personal Loan Account,1150.32
200,200,Personal Loan Account,15683.76
201,201,Credit Card Account,11621.74
202,202,Checking Account,5780.35
203,203,Credit Card Account,4963.04
204,204,Auto Loan Account,13164.59
205,205,Investment Account,7610.28
206,206,Credit Card Account,10601.87
207,207,Investment Account,13940.77
208,208,Home Loan Account,13746.59
209,209,Home Loan Account,5854.28
210,210,Auto Loan Account,16141.63
211,211,Investment Account,9871.37
212,212,Home Loan Account,10249.59
213,213,Personal Loan Account,14433.87
214,214,Personal Loan Account,14316.12
215,215,Investment Account,7729.49
216,216,Personal Loan Account,5028.21
217,217,Home Loan Account,8838.39
218,218,Money Market Account,15608.36
219,219,Investment Account,9666.63
220,220,Auto Loan Account,4386.02
221,221,Credit Card Account,9168.23
222,222,Credit Card Account,10216
223,223,Investment Account,11527.47
224,224,Investment Account,15352.88
225,225,Personal Loan Account,16401.2
226,226,Auto Loan Account,15774.1
227,227,Checking Account,4445.81
228,228,Savings Account,8434.98
229,229,Savings Account,13005.97
230,230,Auto Loan Account,11898.44
231,231,Personal Loan Account,7803.53
232,232,Home Loan Account,1883.89
233,233,Savings Account,12470.32
234,234,Home Loan Account,11136.85
235,235,Checking Account,10498.6
236,236,Auto Loan Account,13593.36
237,237,Money Market Account,7969.21
238,238,Credit Card Account,14036.23
239,239,Investment Account,8927.56
240,240,Investment Account,5890.14
241,241,Investment Account,9166.67
242,242,Credit Card Account,16801.14
243,243,Checking Account,5927.05
244,244,Investment Account,10384.87
245,245,Checking Account,11413.44
246,246,Checking Account,7667.54
247,247,Credit Card Account,2903.39
248,248,Credit Card Account,14647.92
249,249,Investment Account,3441.97
250,250,Money Market Account,6340.62
251,251,Auto Loan Account,6408.72
252,252,Investment Account,6392.17
253,253,Auto Loan Account,15159.14
254,254,Home Loan Account,6354.16
255,255,Personal Loan Account,16200.37
256,256,Savings Account,13122.57
257,257,Credit Card Account,2594.03
258,258,Checking Account,10668.62
259,259,Investment Account,11003.46
260,260,Checking Account,5332.76
261,261,Personal Loan Account,11858.33
262,262,Auto Loan Account,7797.76
263,263,Money Market Account,14508.5
264,264,Money Market Account,12968.93
265,265,Money Market Account,6700.03
266,266,Credit Card Account,11748.02
267,267,Auto Loan Account,15666.49
268,268,Auto Loan Account,9978.34
269,269,Savings Account,12973.19
270,270,Investment Account,12812.75
271,271,Savings Account,12382.55
272,272,Savings Account,12863.32
273,273,Savings Account,6462.2
274,274,Money Market Account,9192.84
275,275,Money Market Account,14391.33
276,276,Credit Card Account,6859.77
277,277,Personal Loan Account,10580.53
278,278,Money Market Account,5121.64
279,279,Credit Card Account,16462.01
280,280,Investment Account,12380.39
281,281,Checking Account,14931.46
282,282,Home Loan Account,9819.01
283,283,Auto Loan Account,6054.7
284,284,Home Loan Account,12459.17
285,285,Money Market Account,17545.04
286,286,Credit Card Account,12930.82
287,287,Savings Account,3886.81
288,288,Savings Account,8345.79
289,289,Auto Loan Account,10021.67
290,290,Home Loan Account,7877.87
291,291,Checking Account,14681.05
292,292,Home Loan Account,4393.75
293,293,Home Loan Account,18094.05
294,294,Checking Account,14849.98
295,295,Savings Account,6257.52
296,296,Investment Account,11879.79
297,297,Credit Card Account,10807.45
298,298,Money Market Account,9794.46
299,299,Savings Account,5978.32
300,300,Personal Loan Account,8695.07
301,301,Auto Loan Account,5133.3
302,302,Home Loan Account,12554.27
303,303,Auto Loan Account,12868.55
304,304,Home Loan Account,13379.23
305,305,Savings Account,9734.06
306,306,Home Loan Account,9132.43
307,307,Savings Account,4600.19
308,308,Auto Loan Account,6454.13
309,309,Credit Card Account,3213.9
310,310,Investment Account,7239.66
311,311,Home Loan Account,12846.99
312,312,Personal Loan Account,10506.86
313,313,Personal Loan Account,5215.88
314,314,Personal Loan Account,8637.88
315,315,Personal Loan Account,3074.56
316,316,Auto Loan Account,5717.54
317,317,Money Market Account,16674.02
318,318,Checking Account,14221.78
319,319,Checking Account,13458.76
320,320,Savings Account,13085.06
321,321,Credit Card Account,10068.33
322,322,Home Loan Account,8070.48
323,323,Credit Card Account,7596.12
324,324,Checking Account,10032.04
325,325,Auto Loan Account,11902.94
326,326,Investment Account,8978.74
327,327,Personal Loan Account,16572.02
328,328,Money Market Account,6377.74
329,329,Personal Loan Account,4593.13
330,330,Home Loan Account,9840.91
331,331,Credit Card Account,11161
332,332,Personal Loan Account,8350.94
333,333,Savings Account,9376.57
334,334,Money Market Account,8583.46
335,335,Credit Card Account,13519.62
336,336,Savings Account,8874.95
337,337,Personal Loan Account,8465.41
338,338,Personal Loan Account,6440.79
339,339,Home Loan Account,4477.02
340,340,Credit Card Account,14790.92
341,341,Savings Account,2319.16
342,342,Savings Account,16693.94
343,343,Credit Card Account,4431.1
344,344,Personal Loan Account,13753.64
345,345,Auto Loan Account,5734.03
346,346,Savings Account,7436.68
347,347,Auto Loan Account,14682.93
348,348,Money Market Account,15933.22
349,349,Auto Loan Account,12634.84
350,350,Auto Loan Account,9867.45
351,351,Home Loan Account,9833.51
352,352,Home Loan Account,8594.37
353,353,Savings Account,4160.52
354,354,Checking Account,10808.62
355,355,Personal Loan Account,6046.97
356,356,Credit Card Account,12138.43
357,357,Money Market Account,15190.72
358,358,Investment Account,10334.89
359,359,Money Market Account,14667.37
360,360,Auto Loan Account,6739
361,361,Auto Loan Account,5582.77
362,362,Credit Card Account,6843.12
363,363,Money Market Account,8624.89
364,364,Personal Loan Account,6409.25
365,365,Checking Account,3522.66
366,366,Personal Loan Account,6053.04
367,367,Checking Account,7214.91
368,368,Auto Loan Account,4824.11
369,369,Checking Account,11160.86
370,370,Money Market Account,5652.8
371,371,Home Loan Account,14945.13
372,372,Savings Account,6016
373,373,Money Market Account,13516.02
374,374,Credit Card Account,9998.51
375,375,Investment Account,7686.42
376,376,Checking Account,11871.8
377,377,Credit Card Account,9210.68
378,378,Auto Loan Account,9118.08
379,379,Home Loan Account,8607.01
380,380,Home Loan Account,8548.35
381,381,Credit Card Account,13635.61
382,382,Auto Loan Account,10167.94
383,383,Auto Loan Account,5821.75
384,384,Personal Loan Account,13985.15
385,385,Personal Loan Account,1885.32
386,386,Personal Loan Account,9153.76
387,387,Checking Account,14803.56
388,388,Savings Account,17434.32
389,389,Savings Account,14884.09
390,390,Savings Account,10490.37
391,391,Personal Loan Account,10728.14
392,392,Money Market Account,7415.65
393,393,Investment Account,1615.37
394,394,Home Loan Account,14054.57
395,395,Money Market Account,14054.35
396,396,Savings Account,4669.47
397,397,Personal Loan Account,3072.98
398,398,Credit Card Account,15986.31
399,399,Auto Loan Account,13896.22
400,400,Auto Loan Account,8570.12
401,401,Credit Card Account,11998.71
402,402,Investment Account,11563.7
403,403,Savings Account,10087.26
404,404,Auto Loan Account,5674.16
405,405,Home Loan Account,10725.9
406,406,Home Loan Account,3335.2
407,407,Savings Account,8312.94
408,408,Savings Account,10194.92
409,409,Checking Account,11319.05
410,410,Savings Account,13198.39
411,411,Credit Card Account,11606.98
412,412,Personal Loan Account,13790.96
413,413,Investment Account,11769.88
414,414,Savings Account,9570.02
415,415,Credit Card Account,15851.1
416,416,Auto Loan Account,15102.67
417,417,Personal Loan Account,7506.73
418,418,Home Loan Account,8683.27
419,419,Home Loan Account,12099.44
420,420,Money Market Account,7320.41
421,421,Credit Card Account,14943.57
422,422,Checking Account,10565.93
423,423,Checking Account,7386.91
424,424,Savings Account,6553.46
425,425,Auto Loan Account,10714.49
426,426,Checking Account,12548.72
427,427,Checking Account,6533.08
428,428,Credit Card Account,11404.73
429,429,Home Loan Account,12307.87
430,430,Home Loan Account,6311.02
431,431,Money Market Account,14581.97
432,432,Investment Account,6966.7
433,433,Auto Loan Account,14778.33
434,434,Home Loan Account,9022.54
435,435,Personal Loan Account,18031.68
436,436,Checking Account,13459.59
437,437,Credit Card Account,5151.53
438,438,Credit Card Account,9012.88
439,439,Checking Account,7791.46
440,440,Personal Loan Account,3960.11
441,441,Money Market Account,12420.69
442,442,Home Loan Account,1657.3
443,443,Home Loan Account,11754.07
444,444,Money Market Account,14265.81
445,445,Money Market Account,9940
446,446,Credit Card Account,11698.05
447,447,Auto Loan Account,13948.41
448,448,Auto Loan Account,17974.53
449,449,Investment Account,10606.02
450,450,Credit Card Account,10001.23
451,451,Auto Loan Account,4680.53
452,452,Savings Account,13647.78
453,453,Auto Loan Account,9324.09
454,454,Auto Loan Account,9214.66
455,455,Checking Account,1522.32
456,456,Investment Account,8199.61
457,457,Investment Account,7824.67
458,458,Savings Account,18311.94
459,459,Credit Card Account,13848.62
460,460,Personal Loan Account,13888.43
461,461,Money Market Account,2637.32
462,462,Auto Loan Account,14587.18
463,463,Savings Account,2148.03
464,464,Home Loan Account,9751.72
465,465,Savings Account,13504.31
466,466,Home Loan Account,14967.53
467,467,Investment Account,16056.14
468,468,Credit Card Account,7212.53
469,469,Auto Loan Account,14264.39
470,470,Credit Card Account,12514.33
471,471,Home Loan Account,5979.81
472,472,Home Loan Account,14012.38
473,473,Home Loan Account,10593.18
474,474,Investment Account,13179.05
475,475,Personal Loan Account,6894.45
476,476,Savings Account,5754.9
477,477,Personal Loan Account,15564.07
478,478,Investment Account,2721.76
479,479,Savings Account,18522.55
480,480,Home Loan Account,8026.06
481,481,Credit Card Account,3007.82
482,482,Money Market Account,10023.16
483,483,Personal Loan Account,14644.04
484,484,Money Market Account,7429.95
485,485,Credit Card Account,10118.01
486,486,Money Market Account,6868.73
487,487,Home Loan Account,8891.26
488,488,Investment Account,15877.61
489,489,Checking Account,11540.21
490,490,Credit Card Account,12084.49
491,491,Credit Card Account,7987.15
492,492,Checking Account,16403.18
493,493,Checking Account,16776.51
494,494,Savings Account,6317.36
495,495,Money Market Account,16223.23
496,496,Money Market Account,9895.14
497,497,Checking Account,11893.55
498,498,Credit Card Account,9548.92
499,499,Savings Account,10802.5
500,500,Personal Loan Account,2401.79
501,501,Money Market Account,4354.83
502,502,Credit Card Account,6088.25
503,503,Checking Account,11826.95
504,504,Checking Account,9667.6
505,505,Savings Account,9785.54
506,506,Credit Card Account,7975.17
507,507,Checking Account,17803.69
508,508,Money Market Account,5420
509,509,Money Market Account,1629.54
510,510,Auto Loan Account,14965.37
511,511,Auto Loan Account,5145.52
512,512,Home Loan Account,8062.95
513,513,Auto Loan Account,11169.11
514,514,Auto Loan Account,9605.08
515,515,Investment Account,8992.23
516,516,Auto Loan Account,10155.3
517,517,Auto Loan Account,12234.37
518,518,Home Loan Account,12357.74
519,519,Investment Account,11099.95
520,520,Checking Account,9746.24
521,521,Checking Account,9786.58
522,522,Auto Loan Account,9947.24
523,523,Savings Account,8522.88
524,524,Credit Card Account,13592.86
525,525,Credit Card Account,16874.11
526,526,Auto Loan Account,9257.56
527,527,Savings Account,17710.8
528,528,Money Market Account,5350.56
529,529,Personal Loan Account,8168.97
530,530,Checking Account,7493.86
531,531,Credit Card Account,9539.12
532,532,Investment Account,10899.28
533,533,Credit Card Account,8012.98
534,534,Personal Loan Account,3706.81
535,535,Personal Loan Account,7571.98
536,536,Home Loan Account,6375.08
537,537,Auto Loan Account,7335.75
538,538,Savings Account,9127.96
539,539,Checking Account,9458.36
540,540,Investment Account,15634.31
541,541,Checking Account,3933.63
542,542,Auto Loan Account,7014.04
543,543,Home Loan Account,7486.23
544,544,Investment Account,9259.62
545,545,Home Loan Account,6670.23
546,546,Home Loan Account,18510.17
547,547,Money Market Account,7376.37
548,548,Savings Account,10694.32
549,549,Money Market Account,7820.69
550,550,Checking Account,12412.11
551,551,Money Market Account,12099.02
552,552,Savings Account,1627
553,553,Personal Loan Account,16403.5
554,554,Money Market Account,12177.56
555,555,Home Loan Account,10640.29
556,556,Home Loan Account,17233.58
557,557,Home Loan Account,3746.46
558,558,Home Loan Account,15560.57
559,559,Home Loan Account,9725.09
560,560,Auto Loan Account,16326.2
561,561,Credit Card Account,5670.06
562,562,Money Market Account,7213.01
563,563,Home Loan Account,11956.4
564,564,Savings Account,10118.62
565,565,Investment Account,9462
566,566,Money Market Account,14729.06
567,567,Personal Loan Account,16091.71
568,568,Money Market Account,6452.19
569,569,Auto Loan Account,1274.28
570,570,Money Market Account,14897
571,571,Home Loan Account,6285.58
572,572,Home Loan Account,2656.09
573,573,Credit Card Account,10188.87
574,574,Money Market Account,12473.01
575,575,Savings Account,14796.74
576,576,Checking Account,11516.58
577,577,Savings Account,11970.23
578,578,Home Loan Account,14282.95
579,579,Credit Card Account,6054.37
580,580,Investment Account,15743.07
581,581,Savings Account,9520.11
582,582,Auto Loan Account,16048.13
583,583,Personal Loan Account,10083.16
584,584,Savings Account,11549.45
585,585,Home Loan Account,18213.74
586,586,Money Market Account,15775.36
587,587,Personal Loan Account,10858.41
588,588,Money Market Account,9100.36
589,589,Personal Loan Account,8106.89
590,590,Checking Account,11366.42
591,591,Home Loan Account,9432.65
592,592,Auto Loan Account,9425.04
593,593,Credit Card Account,7955.5
594,594,Home Loan Account,6862.08
595,595,Personal Loan Account,7727.88
596,596,Savings Account,8854.16
597,597,Savings Account,12453.34
598,598,Money Market Account,10616.93
599,599,Credit Card Account,6553.15
600,600,Checking Account,18884.75
601,601,Credit Card Account,9717.05
602,602,Home Loan Account,5995.79
603,603,Credit Card Account,6263.82
604,604,Home Loan Account,4902.13
605,605,Checking Account,13612.87
606,606,Money Market Account,13176.4
607,607,Personal Loan Account,6980.01
608,608,Savings Account,10855.09
609,609,Checking Account,12362.39
610,610,Money Market Account,14625.51
611,611,Checking Account,7614.05
612,612,Checking Account,5926.47
613,613,Money Market Account,6912.93
614,614,Home Loan Account,8503.65
615,615,Investment Account,9154.03
616,616,Checking Account,10361.1
617,617,Home Loan Account,10225.59
618,618,Money Market Account,8950.74
619,619,Checking Account,6028.39
620,620,Savings Account,7780.42
621,621,Auto Loan Account,3421.65
622,622,Home Loan Account,13471.42
623,623,Money Market Account,11638.04
624,624,Personal Loan Account,9960.68
625,625,Credit Card Account,8665.67
626,626,Investment Account,16820.74
627,627,Credit Card Account,10297.31
628,628,Credit Card Account,9021.62
629,629,Credit Card Account,10741
630,630,Home Loan Account,11414.73
631,631,Investment Account,13297.34
632,632,Money Market Account,8588.98
633,633,Checking Account,12136.54
634,634,Money Market Account,8103.14
635,635,Money Market Account,7703.22
636,636,Home Loan Account,7474.4
637,637,Credit Card Account,7325.6
638,638,Credit Card Account,10136.51
639,639,Personal Loan Account,12698.38
640,640,Checking Account,14805.68
641,641,Personal Loan Account,5658.74
642,642,Auto Loan Account,5949.15
643,643,Personal Loan Account,4685.94
644,644,Auto Loan Account,11696.65
645,645,Home Loan Account,15895.23
646,646,Savings Account,17156.94
647,647,Personal Loan Account,13488.31
648,648,Savings Account,3018.78
649,649,Home Loan Account,7007.46
650,650,Checking Account,12058.63
651,651,Home Loan Account,12026.79
652,652,Home Loan Account,6412.34
653,653,Investment Account,8561.93
654,654,Home Loan Account,4625.34
655,655,Credit Card Account,11691.43
656,656,Credit Card Account,11926.09
657,657,Auto Loan Account,17629.39
658,658,Home Loan Account,13584.08
659,659,Personal Loan Account,10765.57
660,660,Personal Loan Account,11790.63
661,661,Money Market Account,11562.74
662,662,Investment Account,12806.81
663,663,Investment Account,10255.18
664,664,Home Loan Account,9504.98
665,665,Checking Account,10870.19
666,666,Home Loan Account,6959.78
667,667,Credit Card Account,14893.02
668,668,Auto Loan Account,2010.33
669,669,Investment Account,6496.45
670,670,Credit Card Account,12912.98
671,671,Checking Account,8196.16
672,672,Investment Account,7855.49
673,673,Personal Loan Account,7859.41
674,674,Personal Loan Account,13953.33
675,675,Checking Account,14286.83
676,676,Auto Loan Account,6890.92
677,677,Home Loan Account,10336.1
678,678,Personal Loan Account,5376.67
679,679,Investment Account,10900.79
680,680,Investment Account,8677.98
681,681,Credit Card Account,8804.06
682,682,Home Loan Account,11149.69
683,683,Auto Loan Account,10603.91
684,684,Investment Account,10212.47
685,685,Investment Account,14191.32
686,686,Home Loan Account,15013.73
687,687,Home Loan Account,11682.94
688,688,Auto Loan Account,3490.9
689,689,Home Loan Account,10214.75
690,690,Personal Loan Account,15293.62
691,691,Savings Account,4692.2
692,692,Personal Loan Account,15536.96
693,693,Auto Loan Account,13393.98
694,694,Home Loan Account,10615.1
695,695,Money Market Account,6076.88
696,696,Home Loan Account,8564.26
697,697,Personal Loan Account,9134.82
698,698,Home Loan Account,6323.76
699,699,Money Market Account,14953.97
700,700,Auto Loan Account,6559.31
701,701,Investment Account,9629.24
702,702,Checking Account,5420.76
703,703,Credit Card Account,5093.67
704,704,Credit Card Account,4762.47
705,705,Investment Account,7799.37
706,706,Credit Card Account,11699.94
707,707,Savings Account,17070.74
708,708,Personal Loan Account,8237.86
709,709,Money Market Account,11171.13
710,710,Credit Card Account,16682.5
711,711,Personal Loan Account,1981.42
712,712,Money Market Account,2096.14
713,713,Personal Loan Account,11566.92
714,714,Investment Account,13446.69
715,715,Money Market Account,5244.14
716,716,Auto Loan Account,9602.18
717,717,Home Loan Account,14352.18
718,718,Savings Account,11596.72
719,719,Savings Account,2672.88
720,720,Auto Loan Account,9624.16
721,721,Auto Loan Account,12379.88
722,722,Money Market Account,12344.61
723,723,Money Market Account,13622.06
724,724,Money Market Account,11902.71
725,725,Savings Account,5128.84
726,726,Auto Loan Account,5318.93
727,727,Auto Loan Account,13925.19
728,728,Investment Account,8280.99
729,729,Personal Loan Account,18179.71
730,730,Checking Account,5640.21
731,731,Investment Account,9864.74
732,732,Personal Loan Account,8075.15
733,733,Savings Account,10657.8
734,734,Savings Account,10984.82
735,735,Auto Loan Account,9703.08
736,736,Home Loan Account,11622.82
737,737,Investment Account,12398.71
738,738,Personal Loan Account,15654.38
739,739,Checking Account,7753.63
740,740,Savings Account,10977.79
741,741,Auto Loan Account,6941.78
742,742,Checking Account,9753.27
743,743,Checking Account,11408.79
744,744,Auto Loan Account,14818.18
745,745,Personal Loan Account,8681.26
746,746,Investment Account,9604.57
747,747,Checking Account,10550.5
748,748,Checking Account,11729.13
749,749,Investment Account,10788.53
750,750,Investment Account,8999.43
751,751,Money Market Account,14508.98
752,752,Money Market Account,14273.03
753,753,Investment Account,10519.15
754,754,Money Market Account,4948.44
755,755,Personal Loan Account,18736.16
756,756,Savings Account,13678.51
757,757,Investment Account,5986.21
758,758,Money Market Account,11507.79
759,759,Money Market Account,1496.18
760,760,Auto Loan Account,4516.57
761,761,Credit Card Account,15621.44
762,762,Investment Account,9517.43
763,763,Savings Account,12333.35
764,764,Auto Loan Account,13093.62
765,765,Investment Account,3530.3
766,766,Auto Loan Account,5707.36
767,767,Credit Card Account,5828.63
768,768,Auto Loan Account,8661.35
769,769,Home Loan Account,7436.73
770,770,Savings Account,9503.55
771,771,Checking Account,1324.22
772,772,Personal Loan Account,1508.06
773,773,Savings Account,5128.31
774,774,Investment Account,10180.12
775,775,Personal Loan Account,6720.46
776,776,Checking Account,12340.75
777,777,Investment Account,19314.52
778,778,Money Market Account,15911.94
779,779,Checking Account,6195.87
780,780,Personal Loan Account,14875.44
781,781,Home Loan Account,11297.03
782,782,Checking Account,9985.4
783,783,Investment Account,2379.55
784,784,Investment Account,6848.73
785,785,Investment Account,12167.91
786,786,Auto Loan Account,6215.69
787,787,Money Market Account,14416.48
788,788,Home Loan Account,9030.63
789,789,Checking Account,10128.95
790,790,Investment Account,11089.61
791,791,Home Loan Account,4609.18
792,792,Credit Card Account,17036.13
793,793,Home Loan Account,14447.9
794,794,Money Market Account,5306.14
795,795,Checking Account,12003.19
796,796,Investment Account,13966.65
797,797,Money Market Account,6087.75
798,798,Credit Card Account,10967.8
799,799,Personal Loan Account,5694.21
800,800,Savings Account,15437.59
801,801,Home Loan Account,8401.18
802,802,Investment Account,10548.84
803,803,Investment Account,8535.66
804,804,Investment Account,3593.59
805,805,Home Loan Account,7925.98
806,806,Personal Loan Account,6613.74
807,807,Auto Loan Account,5343.14
808,808,Credit Card Account,4462.34
809,809,Home Loan Account,10028.34
810,810,Credit Card Account,3267.97
811,811,Personal Loan Account,7969.86
812,812,Investment Account,7692.65
813,813,Home Loan Account,11607.78
814,814,Home Loan Account,10846.43
815,815,Investment Account,13592.7
816,816,Money Market Account,6143.53
817,817,Checking Account,9885.98
818,818,Credit Card Account,10733.61
819,819,Money Market Account,4996.62
820,820,Personal Loan Account,15383.72
821,821,Home Loan Account,10651.23
822,822,Investment Account,10272.09
823,823,Credit Card Account,10421.33
824,824,Savings Account,10586.07
825,825,Money Market Account,8561.5
826,826,Credit Card Account,4271.27
827,827,Money Market Account,7796.5
828,828,Personal Loan Account,9071.03
829,829,Auto Loan Account,8411.07
830,830,Savings Account,7851.89
831,831,Checking Account,3706.6
832,832,Savings Account,3228.11
833,833,Home Loan Account,7337.56
834,834,Checking Account,13095.05
835,835,Savings Account,9985.37
836,836,Home Loan Account,12870.03
837,837,Auto Loan Account,15420.75
838,838,Auto Loan Account,12807.79
839,839,Home Loan Account,11198.15
840,840,Money Market Account,14529.6
841,841,Savings Account,15510.02
842,842,Savings Account,9294.08
843,843,Auto Loan Account,10525.79
844,844,Investment Account,14676.4
845,845,Savings Account,12264.4
846,846,Checking Account,12948.19
847,847,Personal Loan Account,10446.47
848,848,Credit Card Account,4517.6
849,849,Personal Loan Account,11160.46
850,850,Home Loan Account,16007.17
851,851,Personal Loan Account,15172.73
